kappa	t	t_1
0.25	0.31	0.408229157044573
0.25	0.32	0.418076431130866
0.25	0.33	0.427923916905898
0.25	0.34	0.437771614150451
0.25	0.35	0.447619522645332
0.25	0.36	0.457467642171366
0.25	0.37	0.467315972509403
0.25	0.38	0.477164513440314
0.25	0.39	0.487013264744996
0.25	0.4	0.496862226204369
0.25	0.41	0.506711397599379
0.25	0.42	0.516560778710995
0.25	0.43	0.526410369320217
0.25	0.44	0.536260169208066
0.25	0.45	0.546110178155596
0.25	0.46	0.555960395943884
0.25	0.47	0.565810822354039
0.25	0.48	0.575661457167197
0.25	0.49	0.585512300164527
0.25	0.5	0.595363351127224
0.25	0.51	0.605214609836518
0.25	0.52	0.615066076073668
0.25	0.53	0.624917749619967
0.25	0.54	0.634769630256739
0.25	0.55	0.644621717765343
0.25	0.56	0.65447401192717
0.25	0.57	0.664326512523647
0.25	0.58	0.674179219336237
0.25	0.59	0.684032132146437
0.25	0.6	0.693885250735781
0.25	0.61	0.70373857488584
0.25	0.62	0.713592104378222
0.25	0.63	0.723445838994573
0.25	0.64	0.733299778516579
0.25	0.65	0.743153922725963
0.25	0.66	0.75300827140449
0.25	0.67	0.762862824333963
0.25	0.68	0.772717581296229
0.25	0.69	0.782572542073173
0.25	0.7	0.792427706446725
0.25	0.71	0.802283074198857
0.25	0.72	0.812138645111582
0.25	0.73	0.821994418966959
0.25	0.74	0.831850395547091
0.25	0.75	0.841706574634125
0.25	0.76	0.851562956010256
0.25	0.77	0.861419539457721
0.25	0.78	0.871276324758807
0.25	0.79	0.881133311695846
0.25	0.8	0.890990500051219
0.25	0.81	0.900847889607355
0.25	0.82	0.910705480146731
0.25	0.83	0.920563271451874
0.25	0.84	0.930421263305361
